cohort,horizon_days,observable,still_open,pct_open
2014,30,190,141,74.2
2014,90,190,131,68.9
2014,180,190,123,64.7
2014,365,190,113,59.5
2014,730,190,103,54.2
2014,1460,190,85,44.7
2015,30,269,143,53.2
2015,90,269,103,38.3
2015,180,269,97,36.1
2015,365,269,91,33.8
2015,730,269,88,32.7
2015,1460,269,86,32.0
2016,30,175,87,49.7
2016,90,175,72,41.1
2016,180,175,67,38.3
2016,365,175,65,37.1
2016,730,175,64,36.6
2016,1460,175,59,33.7
2017,30,268,173,64.6
2017,90,268,164,61.2
2017,180,268,160,59.7
2017,365,268,159,59.3
2017,730,268,149,55.6
2017,1460,268,106,39.6
2018,30,98,73,74.5
2018,90,98,70,71.4
2018,180,98,69,70.4
2018,365,98,67,68.4
2018,730,98,67,68.4
2018,1460,98,55,56.1
2019,30,258,138,53.5
2019,90,258,133,51.6
2019,180,258,130,50.4
2019,365,258,125,48.4
2019,730,258,77,29.8
2019,1460,258,71,27.5
2020,30,483,210,43.5
2020,90,483,185,38.3
2020,180,483,181,37.5
2020,365,483,133,27.5
2020,730,483,121,25.1
2020,1460,483,110,22.8
2021,30,647,258,39.9
2021,90,647,238,36.8
2021,180,647,225,34.8
2021,365,647,202,31.2
2021,730,647,182,28.1
2021,1460,647,155,24.0
2022,30,460,111,24.1
2022,90,460,101,22.0
2022,180,460,95,20.7
2022,365,460,77,16.7
2022,730,460,64,13.9
2022,1460,440,37,8.4
2023,30,541,82,15.2
2023,90,541,71,13.1
2023,180,541,66,12.2
2023,365,541,62,11.5
2023,730,541,59,10.9
2023,1460,483,0,0.0
2024,30,382,62,16.2
2024,90,382,54,14.1
2024,180,382,48,12.6
2024,365,382,46,12.0
2024,730,362,24,6.6
2024,1460,341,0,0.0
2025,30,1178,1098,93.2
2025,90,1178,1082,91.9
2025,180,1176,963,81.9
2025,365,1160,59,5.1
2025,730,1104,0,0.0
2025,1460,1104,0,0.0
2026,30,315,57,18.1
2026,90,290,15,5.2
2026,180,275,0,0.0
2026,365,275,0,0.0
2026,730,275,0,0.0
2026,1460,275,0,0.0
