repo,license_class,license,default_branch,open_issues,days_since_push,has_description,archived,flag_count,flags
temp_corrections_ap90,none,,main,1,5,yes,false,2,no-license|cleanup-candidate
temp_corrections_mw,none,,main,1,5,yes,false,2,no-license|cleanup-candidate
MWS,recognised,CC-BY-SA-4.0,master,39,0,yes,false,1,legacy-branch
csl-inflect,recognised,LGPL-3.0,main,12,5,no,false,1,no-description
hwnorm2,recognised,GPL-3.0,main,4,7,no,false,1,no-description
rvlinks,recognised,GPL-3.0,gh-pages,1,8,yes,false,1,branch:gh-pages
sanskrit-fonts,recognised,CC-BY-SA-4.0,gh-pages,0,8,yes,false,1,branch:gh-pages
sanskrit-lexicon.github.io,recognised,CC-BY-SA-4.0,main,0,7,no,false,1,no-description
santamlegacy,none,,main,0,36,yes,true,1,no-license
temp_corrections_acc,none,,main,0,36,yes,true,1,no-license
temp_corrections_ae,none,,main,0,36,yes,true,1,no-license
test_cologne_push,none,,main,0,36,yes,true,1,no-license
ACC,recognised,CC-BY-SA-4.0,main,9,7,yes,false,0,
AMAR,recognised,GPL-2.0,main,1,7,yes,false,0,
AP,recognised,CC-BY-SA-4.0,main,11,0,yes,false,0,
AP90,recognised,GPL-3.0,main,16,0,yes,false,0,
ApteES,recognised,CC-BY-SA-4.0,main,2,0,yes,false,0,
ArabicInSanskrit,recognised,CC-BY-SA-4.0,main,0,9,yes,false,0,
BEN,recognised,CC-BY-SA-4.0,main,5,0,yes,false,0,
BHS,recognised,CC-BY-SA-4.0,main,4,5,yes,false,0,
BOP,recognised,CC-BY-SA-4.0,main,1,5,yes,false,0,
BOR,recognised,CC-BY-SA-4.0,main,3,0,yes,false,0,
BUR,recognised,CC-BY-SA-4.0,main,1,5,yes,false,0,
CAE,recognised,CC-BY-SA-4.0,main,3,6,yes,false,0,
CCS,recognised,CC-BY-SA-4.0,main,2,6,yes,false,0,
COLOGNE,recognised,GPL-3.0,main,199,0,yes,false,0,
CORRECTIONS,recognised,CC-BY-SA-4.0,main,86,6,yes,false,0,
DCS,recognised,CC-BY-SA-4.0,main,4,0,yes,false,0,
FRI,recognised,CC-BY-SA-4.0,main,3,0,yes,false,0,
GRA,recognised,CC-BY-SA-4.0,main,10,0,yes,false,0,
GreekInSanskrit,recognised,CC-BY-SA-4.0,main,1,9,yes,false,0,
INM,recognised,CC-BY-SA-4.0,main,3,0,yes,false,0,
KNA,recognised,CC-BY-SA-4.0,main,1,8,yes,false,0,
KOW,recognised,CC-BY-SA-4.0,main,1,9,yes,false,0,
KRM,recognised,CC-BY-SA-4.0,main,3,6,yes,false,0,
LRV,recognised,CC-BY-SA-4.0,main,3,5,yes,false,0,
MCI,recognised,CC-BY-SA-4.0,main,1,5,yes,false,0,
MD,recognised,CC-BY-SA-4.0,main,6,0,yes,false,0,
MW72,recognised,CC-BY-SA-4.0,main,1,8,yes,false,0,
MWinflect,recognised,CC-BY-SA-4.0,main,48,5,yes,false,0,
PUI,recognised,CC-BY-SA-4.0,main,2,0,yes,false,0,
PWG,recognised,CC-BY-SA-4.0,main,27,0,yes,false,0,
PWK,recognised,CC-BY-SA-4.0,main,38,0,yes,false,0,
SCH,recognised,CC-BY-SA-4.0,main,4,0,yes,false,0,
SHS,recognised,CC-BY-SA-4.0,main,3,5,yes,false,0,
SKD,recognised,CC-BY-SA-4.0,main,12,6,yes,false,0,
STC,recognised,CC-BY-SA-4.0,main,2,6,yes,false,0,
VCP,recognised,CC-BY-SA-4.0,main,19,0,yes,false,0,
VEI,recognised,CC-BY-SA-4.0,main,1,5,yes,false,0,
WIL,recognised,CC-BY-SA-4.0,main,14,6,yes,false,0,
Wil-YAT,recognised,CC-BY-SA-4.0,main,0,7,yes,false,0,
alternateheadwords,recognised,CC-BY-SA-4.0,main,18,5,yes,false,0,
avlinks,recognised,GPL-3.0,main,1,6,yes,false,0,
cologne-hugo,recognised,GPL-3.0,main,0,5,yes,false,0,
cologne-stardict,recognised,MIT,main,3,8,yes,false,0,
csl-apidev,recognised,GPL-3.0,main,22,0,yes,false,0,
csl-app,recognised,GPL-3.0,main,0,5,yes,false,0,
csl-corrections,recognised,GPL-3.0,main,13,0,yes,false,0,
csl-devanagari,recognised,CC-BY-SA-4.0,main,13,5,yes,false,0,
csl-doc,recognised,GPL-3.0,main,2,7,yes,false,0,
csl-homepage,recognised,CC-BY-SA-4.0,main,1,5,yes,false,0,
csl-json,recognised,CC-BY-SA-4.0,main,0,9,yes,false,0,
csl-kale,recognised,GPL-3.0,main,1,7,yes,false,0,
csl-ldev,recognised,CC-BY-SA-4.0,main,7,6,yes,false,0,
csl-lnum,recognised,CC-BY-SA-4.0,main,1,9,yes,false,0,
csl-lslink,recognised,CC-BY-SA-4.0,main,2,7,yes,false,0,
csl-newsletter,recognised,GPL-3.0,main,2,5,yes,false,0,
csl-observatory,recognised,GPL-3.0,main,18,0,yes,false,0,
csl-orig,recognised,CC-BY-SA-4.0,main,35,0,yes,false,0,
csl-pywork,recognised,GPL-3.0,main,3,0,yes,false,0,
csl-sqlite,recognised,GPL-3.0,main,1,7,yes,false,0,
csl-websanlexicon,recognised,GPL-3.0,main,25,3,yes,false,0,
csl-westergaard,recognised,GPL-3.0,main,1,7,yes,false,0,
csl-whitroot,recognised,GPL-3.0,main,0,5,yes,false,0,
hwnorm1,recognised,GPL-3.0,main,17,5,yes,false,0,
literarysource,recognised,CC-BY-SA-4.0,main,3,8,yes,false,0,
mw-dev,recognised,CC-BY-SA-4.0,main,17,8,yes,false,0,
