,WIL,YAT,GST,BEN,MW72,LRV,AP90,CAE,MD,MW,SHS,AP,BOR,AE,BUR,STC,PWG,GRA,PW,CCS,SCH,BOP,VCP,SKD,INM,VEI,PUI,BHS,FRI,ACC,KRM,MCI
WIL,0.0000,0.4444,0.3684,0.3889,0.2778,0.3889,0.3684,0.3333,0.2222,0.5789,0.1667,0.3684,0.6111,0.4444,0.3333,0.4118,0.4737,0.6471,0.4444,0.2778,0.3529,0.2778,0.4118,0.4118,0.2941,0.5556,0.4706,0.5294,0.2941,0.4118,0.4118,0.3889
YAT,0.4444,0.0000,0.5000,0.6111,0.5556,0.2222,0.5556,0.3889,0.2778,0.6111,0.2778,0.7222,0.3333,0.3333,0.4444,0.0588,0.6111,0.5294,0.5000,0.3889,0.3529,0.6111,0.2941,0.2941,0.4706,0.7059,0.2941,0.7647,0.5882,0.2353,0.2941,0.3889
GST,0.3684,0.5000,0.0000,0.5000,0.4444,0.4444,0.5263,0.3333,0.3333,0.4737,0.2778,0.4211,0.4444,0.4444,0.4444,0.5294,0.2105,0.7059,0.3333,0.3333,0.3529,0.4444,0.3529,0.3529,0.1765,0.5000,0.2353,0.7059,0.4706,0.4118,0.2353,0.2778
BEN,0.3889,0.6111,0.5000,0.0000,0.2222,0.4444,0.5000,0.3333,0.3333,0.3889,0.3333,0.3889,0.6667,0.5000,0.1667,0.5882,0.5000,0.4118,0.5000,0.3333,0.4706,0.2222,0.5294,0.5294,0.4118,0.4706,0.6471,0.3529,0.3529,0.5882,0.5294,0.5556
MW72,0.2778,0.5556,0.4444,0.2222,0.0000,0.5000,0.5000,0.4444,0.3333,0.3889,0.2778,0.2778,0.7222,0.5556,0.1667,0.5294,0.5556,0.4706,0.5556,0.3889,0.4706,0.2222,0.5294,0.5294,0.4118,0.2353,0.5882,0.5882,0.3529,0.5294,0.5294,0.5000
LRV,0.3889,0.2222,0.4444,0.4444,0.5000,0.0000,0.3889,0.3333,0.3333,0.5000,0.2222,0.6111,0.3889,0.2778,0.3889,0.2941,0.5000,0.5882,0.5000,0.3333,0.3529,0.5556,0.3529,0.3529,0.4118,0.7647,0.4706,0.5294,0.5294,0.2353,0.3529,0.4444
AP90,0.3684,0.5556,0.5263,0.5000,0.5000,0.3889,0.0000,0.5000,0.4444,0.6316,0.4444,0.3158,0.6111,0.3333,0.5556,0.5294,0.5789,0.6471,0.5556,0.5000,0.5294,0.5000,0.5882,0.5882,0.5294,0.7778,0.7647,0.4118,0.5294,0.5294,0.5882,0.6667
CAE,0.3333,0.3889,0.3333,0.3333,0.4444,0.3333,0.5000,0.0000,0.2222,0.6111,0.2222,0.5556,0.5000,0.4444,0.2778,0.4118,0.2778,0.6471,0.3333,0.1111,0.3529,0.4444,0.2353,0.2353,0.2353,0.6471,0.4118,0.5882,0.3529,0.4118,0.2941,0.4444
MD,0.2222,0.2778,0.3333,0.3333,0.3333,0.3333,0.4444,0.2222,0.0000,0.6111,0.1111,0.5556,0.4444,0.2778,0.2778,0.2353,0.4444,0.4706,0.2222,0.2222,0.1765,0.3333,0.2353,0.2353,0.1765,0.4706,0.2941,0.6471,0.4118,0.2353,0.2353,0.3333
MW,0.5789,0.6111,0.4737,0.3889,0.3889,0.5000,0.6316,0.6111,0.6111,0.0000,0.5556,0.5789,0.7222,0.6667,0.4444,0.5294,0.4211,0.2941,0.4444,0.5556,0.5294,0.3889,0.7647,0.7647,0.4118,0.3889,0.5882,0.4118,0.4706,0.7059,0.7059,0.5556
SHS,0.1667,0.2778,0.2778,0.3333,0.2778,0.2222,0.4444,0.2222,0.1111,0.5556,0.0000,0.5000,0.4444,0.2778,0.2778,0.2353,0.3889,0.5882,0.3333,0.1111,0.1765,0.3333,0.2353,0.2353,0.1765,0.5294,0.2941,0.6471,0.4118,0.2353,0.2353,0.2222
AP,0.3684,0.7222,0.4211,0.3889,0.2778,0.6111,0.3158,0.5556,0.5556,0.5789,0.5000,0.0000,0.7778,0.5556,0.3889,0.7647,0.5263,0.7059,0.6667,0.5556,0.5882,0.3889,0.5882,0.5882,0.6471,0.5556,0.7059,0.5294,0.3529,0.6471,0.5882,0.7222
BOR,0.6111,0.3333,0.4444,0.6667,0.7222,0.3889,0.6111,0.5000,0.4444,0.7222,0.4444,0.7778,0.0000,0.3889,0.6667,0.3529,0.5556,0.5294,0.5556,0.4444,0.5294,0.6667,0.4706,0.4706,0.5294,0.6471,0.3529,0.5294,0.7059,0.2941,0.3529,0.3889
